product_url,cid,reviewer_id,stars
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=savr00777/,savr00777,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=savr00788/,savr00788,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=savr00785/,savr00785,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=1ftav00011/,1ftav00011,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=1start00377v/,1start00377v,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=urvrsp00492/,urvrsp00492,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=oae00291/,oae00291,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=sone00962/,sone00962,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=savr00776/,savr00776,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=mdvr00366/,mdvr00366,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=savr00778/,savr00778,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=sivr00444/,sivr00444,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=mdvr00365/,mdvr00365,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=sone00846/,sone00846,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=sivr00433/,sivr00433,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=sivr00434/,sivr00434,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=fuvr00002/,fuvr00002,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=mida00301/,mida00301,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=1sdjs00321/,1sdjs00321,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=1hawa00357/,1hawa00357,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=sivr00435/,sivr00435,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=sone00853/,sone00853,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=1ftav00013/,1ftav00013,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=13dsvr01798/,13dsvr01798,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=fuvr00001/,fuvr00001,185585,4
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=juvr00245/,juvr00245,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=1start00360/,1start00360,185585,4
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=mkmp00659/,mkmp00659,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=sone00840/,sone00840,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=1start00341/,1start00341,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=sone00811/,sone00811,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=waaa00545/,waaa00545,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=kavr00432/,kavr00432,185585,4
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=ymdd00460/,ymdd00460,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=mida00251/,mida00251,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=mida00272/,mida00272,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=1sdjs00317/,1sdjs00317,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=13dsvr01784/,13dsvr01784,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=mdvr00362/,mdvr00362,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=13dsvr01787/,13dsvr01787,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=kavr00434/,kavr00434,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=13dsvr01776/,13dsvr01776,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=juvr00241/,juvr00241,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=sone00956/,sone00956,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=13dsvr01785/,13dsvr01785,185585,4
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=urvrsp00463/,urvrsp00463,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=hnvr00158/,hnvr00158,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=sivr00427/,sivr00427,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=sone00758/,sone00758,185585,5
https://www.dmm.co.jp/digital/videoa/-/detail/=/cid=sivr00422/,sivr00422,185585,5
