,maker,recommendations,unique_items,user_coverage
0,エスワン ナンバーワンスタイル,1271,92,86
1,SODクリエイト,156,11,62
2,Fitch,123,8,29
3,ムーディーズ,91,18,37
4,アイデアポケット,48,11,16
5,マドンナ,8,6,5
6,タカラ映像,7,1,7
7,まぐろ物産,5,5,1
8,エムズビデオグループ,4,4,1
9,クリスタル映像,3,1,3
10,ドリームチケット,3,3,1
11,プレミアム,1,1,1
